,time,force_mV,displacement_mV,mV
0,1.7557716,,,b'3\r\n'
1,0.031501299999999954,,,b'0.60\t403\r\n'
2,0.04741229999999996,,,b'0.60\t403\r\n'
3,0.07741880000000001,,,b'0.60\t403\r\n'
4,0.09341639999999996,,,b'0.80\t404\r\n'
5,0.10941000000000001,,,b'0.60\t403\r\n'
6,0.12545840000000008,,,b'0.80\t3\r\n'
7,0.14150740000000006,,,b'1.00\t404\r\n'
8,0.17342060000000004,,,b'1.20\t403\r\n'
9,0.2044840000000001,,,b'1.00\t404\r\n'
10,0.23549520000000013,,,b'0.80\t404\r\n'
11,0.2675011999999999,,,b'0.80\t404\r\n'
12,0.2834633000000002,,,b'0.60\t403\r\n'
13,0.2994834000000002,,,b'0.80\t403\r\n'
14,0.3145875,,,b'0.60\t403\r\n'
15,0.33058770000000015,,,b'0.60\t403\r\n'
16,0.3464480999999999,,,b'0.60\t403\r\n'
17,0.3617005999999998,,,b'0.80\t404\r\n'
18,0.3773360000000001,,,b'0.60\t403\r\n'
19,0.3936174000000001,,,b'0.80\t0.00\t403\r\n'
20,1.6044965000000002,,,b'0.00\t403\r\n'
21,1.6203471,,,b'0.20\t404\r\n'
22,1.6363459000000002,,,b'0.20\t403\r\n'
23,1.6523808,,,b'0.40\t403\r\n'
24,1.6833298,,,b'0.40\t403\r\n'
25,1.699576,,,b'0.60\t403\r\n'
26,1.7153437999999999,,,b'0.60\t403\r\n'
27,1.7309589,,,b'0.80\t403\r\n'
28,1.7464483,,,b'1.00\t403\r\n'
29,1.7621924999999998,,,b'1.20\t403\r\n'
30,1.7934443,,,b'1.20\t403\r\n'
31,1.8250948999999999,,,b'1.20\t403\r\n'
32,1.8410956,,,b'1.40\t403\r\n'
33,1.8717834999999998,,,b'1.20\t404\r\n'
34,1.8878024999999998,,,b'1.40\t404\r\n'
35,1.9037313,,,b'1.20\t403\r\n'
36,1.9203447000000002,,,b'1.20\t403\r\n'
37,1.9361412000000002,,,b'1.20\t403\r\n'
38,1.952092,,,b'1.00\t403\r\n'
39,1.9675703000000002,,,b'1.00\t403\r\n'
40,1.9834692999999999,,,b'1.20\t403\r\n'
41,2.0149124,,,b'1.20\t403\r\n'
42,2.046347,,,b'1.20\t404\r\n'
43,2.0779131,,,b'1.20\t403\r\n'
44,2.0939246000000002,,,b'1.20\t403\r\n'
45,2.1248186000000002,,,b'1.40\t403\r\n'
46,2.1408014,,,b'1.60\t403\r\n'
47,2.1717742,,,b'1.60\t403\r\n'
48,2.2020463,,,b'1.60\t403\r\n'
49,2.2182713,,,b'1.60\t404\r\n'
50,2.2497086000000004,,,b'1.40\t403\r\n'
51,2.265203,,,b'1.20\t403\r\n'
52,2.2812443000000004,,,b'1.20\t403\r\n'
53,2.312688,,,b'1.40\t403\r\n'
54,2.3442260000000004,,,b'1.40\t403\r\n'
55,2.3602019000000003,,,b'1.40\t403\r\n'
56,2.3754199000000003,,,b'1.40\t403\r\n'
57,2.3910894,,,b'1.40\t403\r\n'
58,2.4064387000000003,,,b'1.40\t403\r\n'
59,2.4228969,,,b'1.40\t403\r\n'
60,2.4538987000000003,,,b'1.60\t403\r\n'
61,2.4693772,,,b'1.60\t403\r\n'
62,2.5007977,,,b'1.60\t403\r\n'
63,2.5161589,,,b'1.60\t403\r\n'
64,2.5318226000000004,,,b'1.60\t403\r\n'
65,2.5630861,,,b'1.60\t404\r\n'
66,2.594174,,,b'1.60\t403\r\n'
67,2.6101844,,,b'1.60\t403\r\n'
68,2.6252315000000004,,,b'1.80\t403\r\n'
69,2.6416818,,,b'1.80\t403\r\n'
70,2.6569387,,,b'1.80\t403\r\n'
71,2.6727253,,,b'2.00\t403\r\n'
72,2.7031571,,,b'1.80\t404\r\n'
73,2.7185906,,,b'1.80\t403\r\n'
74,2.7350817,,,b'1.80\t403\r\n'
75,2.7509080000000004,,,b'1.60\t403\r\n'
76,2.7669418,,,b'1.60\t403\r\n'
77,2.7834798,,,b'1.40\t403\r\n'
78,2.8149162000000003,,,b'1.40\t403\r\n'
79,2.830454,,,b'1.20\t403\r\n'
80,2.8457225000000004,,,b'1.20\t403\r\n'
81,2.876446,,,b'1.00\t403\r\n'
82,2.9072213999999996,,,b'1.20\t403\r\n'
83,2.9391315,,,b'1.20\t403\r\n'
84,2.9548257,,,b'1.20\t403\r\n'
85,2.9857083999999996,,,b'1.40\t403\r\n'
86,3.0017542,,,b'1.40\t403\r\n'
87,3.0176854,,,b'1.60\t403\r\n'
88,3.0330410999999997,,,b'1.60\t403\r\n'
89,3.0647824,,,b'1.80\t403\r\n'
90,3.0799911000000004,,,b'1.80\t403\r\n'
91,3.0957067000000005,,,b'2.00\t403\r\n'
92,3.111965,,,b'2.00\t403\r\n'
93,3.1277717,,,b'2.00\t403\r\n'
94,3.1593234000000003,,,b'2.00\t404\r\n'
95,3.1755134999999997,,,b'2.00\t403\r\n'
96,3.1919543000000004,,,b'2.00\t403\r\n'
97,3.2086248000000004,,,b'2.00\t403\r\n'
98,3.2248139000000005,,,b'1.80\t403\r\n'
99,3.2408292,,,b'1.60\t403\r\n'
100,3.2561966000000004,,,b'1.60\t403\r\n'
101,3.2722045000000004,,,b'1.40\t403\r\n'
102,3.2884401999999997,,,b'1.20\t403\r\n'
103,3.3195704000000004,,,b'1.20\t403\r\n'
104,3.3356169,,,b'1.20\t403\r\n'
105,3.3514404,,,b'1.20\t404\r\n'
106,3.3817397999999996,,,b'1.20\t403\r\n'
107,3.4128315,,,b'1.20\t403\r\n'
108,3.4436644,,,b'1.20\t403\r\n'
109,3.459299,,,b'1.20\t403\r\n'
110,3.4747497,,,b'1.00\t403\r\n'
111,3.4905063000000003,,,b'1.00\t403\r\n'
