,time,force_mV,displacement_mV
0,1.9519679,0.67,406
1,0.026430900000000035,0.67,405
2,0.04179569999999999,0.67,406
3,0.05741499999999977,0.00,406
4,0.07339930000000017,0.00,405
5,0.08890909999999996,0.00,405
6,0.1048578,0.00,405
7,0.1203580999999998,0.00,406
8,0.13595349999999984,0.00,405
9,0.15194379999999974,0.00,406
10,0.16745620000000017,0.00,405
11,0.18284220000000007,0.00,406
12,0.19829700000000017,0.00,405
13,0.2146805999999999,0.00,405
14,0.23110589999999975,0.67,405
15,0.24697600000000008,0.67,405
16,0.2621639,1.33,405
17,0.2777259000000001,0.67,406
18,0.2933547999999999,0.67,405
19,0.30901770000000006,0.67,406
20,0.3250058,0.67,405
21,0.3403811000000001,1.33,405
22,0.3560770999999998,1.33,406
23,0.37218969999999985,2.00,406
24,0.38792329999999975,1.33,406
25,0.40334190000000003,1.33,405
26,0.41910170000000013,1.33,405
27,0.43438730000000003,2.00,405
28,0.44968969999999997,2.00,405
29,0.4649787999999999,2.00,406
30,0.48058960000000006,2.00,405
31,0.4960152999999998,2.00,405
32,0.5112035000000001,2.00,405
33,0.5270937,2.00,405
34,0.5433669000000001,2.00,406
35,0.5587619999999998,2.00,406
36,0.5746685,2.00,405
37,0.5902371999999998,2.00,405
38,0.6059507000000002,2.00,406
39,0.6212992000000002,2.00,405
40,0.637076,2.00,405
41,0.6522567000000001,2.00,405
42,0.6679225999999998,2.00,405
43,0.6828032999999998,2.00,406
44,0.6983993000000002,2.00,406
45,0.7140048000000001,2.00,405
46,0.7293447,2.00,405
47,0.7454234,2.00,405
48,0.7609846,2.00,406
49,0.7764248,2.00,405
50,0.7921244999999999,2.00,405
51,0.8077241000000002,2.00,406
52,0.8236064999999999,2.00,405
53,0.8391248,2.00,406
54,0.8550757999999998,2.00,406
55,0.8706103000000001,2.00,405
56,0.8857856000000002,3.00,406
57,0.9013502,3.00,405
58,0.9170707999999999,3.00,405
59,0.9325632000000001,3.00,406
60,0.9478228,3.00,406
61,0.9637908,4.00,405
62,0.979215,3.00,406
63,0.9955846999999998,3.00,406
64,1.0110073000000002,3.00,405
65,1.0267716999999998,3.00,406
66,1.0427395000000002,3.00,406
67,1.0577419999999997,3.00,405
