,time,force_mV,displacement_mV,mV
0,1.9404583,,,b'0.00\t404\r\n'
1,0.027609100000000053,,,b'0.00\t405\r\n'
2,0.042858799999999864,,,b'0.00\t405\r\n'
3,0.0588232999999998,,,b'0.00\t404\r\n'
4,0.07414770000000015,,,b'0.00\t405\r\n'
5,0.0901516,,,b'0.00\t405\r\n'
6,0.10579249999999973,,,b'0.00\t405\r\n'
7,0.12123499999999998,,,b'0.00\t405\r\n'
8,0.1370092999999999,,,b'0.00\t404\r\n'
9,0.1533834999999999,,,b'0.00\t405\r\n'
10,0.16897010000000012,,,b'0.00\t404\r\n'
11,0.18463150000000006,,,b'0.00\t404\r\n'
12,0.20089010000000007,,,b'0.00\t404\r\n'
13,0.21660069999999987,,,b'0.00\t404\r\n'
14,0.23215390000000014,,,b'0.00\t404\r\n'
15,0.24737589999999976,,,b'0.00\t404\r\n'
16,0.26328489999999993,,,b'0.00\t405\r\n'
17,0.2787012,,,b'0.00\t404\r\n'
18,0.2950914,,,b'0.00\t404\r\n'
19,0.31139910000000004,,,b'0.00\t405\r\n'
20,0.32680260000000017,,,b'0.00\t404\r\n'
21,0.3426151000000002,,,b'0.00\t404\r\n'
22,0.3581911999999998,,,b'0.00\t405\r\n'
23,0.37458009999999975,,,b'0.00\t405\r\n'
24,0.3895387000000001,,,b'0.00\t405\r\n'
25,0.40498999999999974,,,b'0.00\t404\r\n'
26,0.4205418000000001,,,b'0.67\t404\r\n'
27,0.4364108999999998,,,b'1.33\t404\r\n'
28,0.45226960000000016,,,b'1.33\t404\r\n'
29,0.4685172999999998,,,b'0.67\t404\r\n'
30,0.4843479999999998,,,b'0.67\t404\r\n'
31,0.5000176999999999,,,b'1.33\t404\r\n'
32,0.5154136,,,b'1.33\t404\r\n'
33,0.5304964999999999,,,b'0.67\t404\r\n'
34,0.5464878,,,b'0.00\t404\r\n'
35,0.5618593000000001,,,b'0.00\t404\r\n'
36,0.5773826,,,b'0.00\t404\r\n'
37,0.5925596999999998,,,b'0.00\t405\r\n'
38,0.6079471000000001,,,b'0.00\t404\r\n'
39,0.6230409999999997,,,b'0.00\t404\r\n'
40,0.6383746000000001,,,b'0.67\t405\r\n'
41,0.6541308999999997,,,b'0.67\t404\r\n'
42,0.6694363999999999,,,b'0.67\t405\r\n'
43,0.6853636000000001,,,b'0.00\t405\r\n'
44,0.7007794999999999,,,b'0.00\t404\r\n'
45,0.7160237,,,b'0.00\t405\r\n'
46,0.7319906999999999,,,b'0.00\t404\r\n'
47,0.7475499999999999,,,b'0.00\t404\r\n'
48,0.7632626999999998,,,b'0.00\t405\r\n'
49,0.7784021999999999,,,b'0.00\t404\r\n'
50,0.7939685999999999,,,b'0.00\t404\r\n'
51,0.8097568000000002,,,b'0.00\t404\r\n'
52,0.8252709,,,b'0.00\t405\r\n'
53,0.8406967000000001,,,b'0.00\t404\r\n'
54,0.8563439000000002,,,b'0.00\t404\r\n'
55,0.8721190999999999,,,b'0.00\t404\r\n'
56,0.888169,,,b'0.00\t405\r\n'
57,0.9037994,,,b'0.00\t405\r\n'
58,0.9187580999999998,,,b'0.00\t404\r\n'
59,0.9341610999999999,,,b'0.00\t404\r\n'
60,0.9496785000000001,,,b'0.00\t404\r\n'
61,0.9660085999999999,,,b'0.00\t404\r\n'
62,0.9815301000000001,,,b'0.00\t404\r\n'
63,0.9970050000000001,,,b'0.00\t405\r\n'
64,1.0128669000000001,,,b'0.00\t404\r\n'
65,1.0282451999999997,,,b'0.00\t405\r\n'
66,1.0433864000000002,,,b'0.00\t404\r\n'
67,1.0591472999999998,,,b'0.00\t404\r\n'
68,1.0742330999999998,,,b'0.00\t405\r\n'
69,1.0897408,,,b'0.00\t404\r\n'
70,1.1050261999999997,,,b'0.00\t404\r\n'
71,1.1210086000000001,,,b'0.00\t404\r\n'
72,1.1365328999999997,,,b'0.00\t404\r\n'
73,1.1525037999999999,,,b'0.00\t404\r\n'
74,1.168869,,,b'0.00\t405\r\n'
75,1.1830919,,,b'0.00\t404\r\n'
76,1.1987939,,,b'0.00\t404\r\n'
77,1.2145275999999998,,,b'0.00\t404\r\n'
78,1.2297618999999997,,,b'0.67\t404\r\n'
79,1.2455108999999998,,,b'0.67\t404\r\n'
80,1.2612907999999998,,,b'0.67\t405\r\n'
81,1.2765971999999999,,,b'0.00\t405\r\n'
82,1.2917846000000002,,,b'0.00\t404\r\n'
83,1.3070118000000002,,,b'0.00\t405\r\n'
84,1.3223427,,,b'0.00\t404\r\n'
85,1.3384898,,,b'0.00\t404\r\n'
86,1.3538117,,,b'0.00\t404\r\n'
87,1.3691839,,,b'0.00\t404\r\n'
88,1.3847098999999998,,,b'0.00\t404\r\n'
89,1.4003744999999999,,,b'0.67\t405\r\n'
90,1.4154499,,,b'0.67\t405\r\n'
91,1.4314827,,,b'0.67\t404\r\n'
92,1.4469922,,,b'0.00\t404\r\n'
93,1.4625544000000001,,,b'0.00\t405\r\n'
94,1.4781611,,,b'0.00\t405\r\n'
95,1.4934981999999999,,,b'0.00\t404\r\n'
96,1.5089704999999998,,,b'0.00\t405\r\n'
97,1.5254165999999998,,,b'0.00\t404\r\n'
98,1.5412466999999999,,,b'0.00\t404\r\n'
99,1.5568629,,,b'0.00\t404\r\n'
100,1.5731302,,,b'0.00\t405\r\n'
101,1.5883865,,,b'0.00\t404\r\n'
102,1.6037857,,,b'0.00\t404\r\n'
103,1.6197851,,,b'0.00\t404\r\n'
104,1.6358283,,,b'0.00\t404\r\n'
105,1.6515619,,,b'0.00\t404\r\n'
106,1.6673139999999997,,,b'0.00\t404\r\n'
107,1.6825187000000001,,,b'0.00\t405\r\n'
108,1.6984681999999998,,,b'0.00\t405\r\n'
109,1.713629,,,b'0.00\t404\r\n'
110,1.7287588,,,b'0.00\t405\r\n'
111,1.7442096,,,b'0.00\t404\r\n'
112,1.7598861000000001,,,b'0.00\t404\r\n'
113,1.7752127999999998,,,b'0.00\t405\r\n'
114,1.7915465,,,b'0.00\t405\r\n'
115,1.8074466,,,b'0.00\t404\r\n'
116,1.8230642000000001,,,b'0.00\t404\r\n'
117,1.8384735,,,b'0.00\t405\r\n'
118,1.8542226,,,b'0.00\t404\r\n'
119,1.8700659000000002,,,b'0.00\t404\r\n'
120,1.8857499,,,b'0.00\t405\r\n'
121,1.9022666,,,b'0.00\t405\r\n'
122,1.9185092999999998,,,b'0.00\t405\r\n'
123,1.9333166,,,b'0.00\t404\r\n'
124,1.9488292,,,b'0.00\t404\r\n'
125,1.9645288,,,b'0.00\t404\r\n'
126,1.9800436000000001,,,b'0.67\t405\r\n'
127,1.9964087999999998,,,b'0.67\t404\r\n'
128,2.0122967,,,b'0.67\t405\r\n'
129,2.0274948999999998,,,b'0.00\t405\r\n'
130,2.0434691,,,b'0.00\t404\r\n'
131,2.0599464000000003,,,b'0.67\t404\r\n'
132,2.0760702,,,b'0.67\t404\r\n'
133,2.0919678,,,b'1.33\t404\r\n'
134,2.1081272999999996,,,b'1.33\t404\r\n'
135,2.1235383,,,b'2.00\t404\r\n'
136,2.1395836,,,b'2.00\t404\r\n'
137,2.1547843,,,b'2.00\t405\r\n'
138,2.1699479000000004,,,b'3.00\t405\r\n'
139,2.1859067000000003,,,b'3.00\t404\r\n'
140,2.2016102,,,b'4.00\t405\r\n'
141,2.2174306999999995,,,b'4.00\t405\r\n'
142,2.2336729999999996,,,b'5.00\t404\r\n'
143,2.2489583,,,b'5.00\t404\r\n'
144,2.2641083999999996,,,b'5.00\t404\r\n'
145,2.2801770999999995,,,b'5.00\t405\r\n'
146,2.2961273999999996,,,b'6.00\t404\r\n'
147,2.3121302000000004,,,b'7.00\t405\r\n'
148,2.3421405999999996,,,b'7.00\t405\r\n'
149,2.3581537,,,b'7.00\t405\r\n'
150,2.3741394,,,b'7.00\t404\r\n'
151,2.3900873000000002,,,b'8.00\t404\r\n'
152,2.4051399,,,b'8.00\t404\r\n'
153,2.4211314999999995,,,b'8.00\t405\r\n'
154,2.4371022,,,b'8.67\t404\r\n'
155,2.4521314,,,b'9.33\t404\r\n'
156,2.4681476,,,b'10.00\t404\r\n'
157,2.4840904000000004,,,b'10.00\t404\r\n'
158,2.4991304000000003,,,b'10.00\t404\r\n'
159,2.5151452,,,b'10.00\t404\r\n'
160,2.5311158000000002,,,b'11.00\t404\r\n'
161,2.5461405,,,b'12.00\t404\r\n'
162,2.5621367,,,b'13.00\t405\r\n'
163,2.5781292000000002,,,b'13.00\t405\r\n'
164,2.5931189999999997,,,b'13.00\t405\r\n'
165,2.6091014,,,b'13.00\t405\r\n'
166,2.6251906,,,b'13.00\t404\r\n'
167,2.6405072,,,b'14.00\t405\r\n'
168,2.6564987999999996,,,b'15.00\t404\r\n'
169,2.6720620000000004,,,b'15.00\t404\r\n'
170,2.6886189,,,b'14.00\t404\r\n'
171,2.7041060999999997,,,b'13.00\t405\r\n'
172,2.7198293,,,b'14.00\t404\r\n'
173,2.7352831999999996,,,b'15.00\t404\r\n'
174,2.7510721,,,b'16.00\t404\r\n'
175,2.7669800999999996,,,b'16.00\t404\r\n'
176,2.7827896,,,b'16.67\t404\r\n'
177,2.7976909,,,b'16.67\t404\r\n'
178,2.8135433,,,b'16.67\t405\r\n'
179,2.8289666,,,b'16.00\t404\r\n'
180,2.8454562,,,b'16.00\t404\r\n'
181,2.8606784999999997,,,b'16.00\t404\r\n'
182,2.8767370000000003,,,b'16.67\t405\r\n'
183,2.8919322999999997,,,b'17.33\t404\r\n'
184,2.9079853,,,b'18.00\t404\r\n'
185,2.9238163999999998,,,b'18.00\t404\r\n'
186,2.9395188,,,b'18.00\t404\r\n'
187,2.9553684999999996,,,b'18.00\t404\r\n'
188,2.9712071,,,b'18.00\t404\r\n'
189,2.9875631,,,b'18.00\t404\r\n'
190,3.0032170000000002,,,b'18.00\t404\r\n'
191,3.0188355,,,b'18.00\t405\r\n'
192,3.0346884000000003,,,b'18.00\t404\r\n'
193,3.0505277,,,b'18.00\t403\r\n'
194,3.0660689999999997,,,b'18.00\t403\r\n'
195,3.0812584000000003,,,b'18.00\t403\r\n'
196,3.0962636000000003,,,b'18.00\t403\r\n'
197,3.1110350999999996,,,b'18.00\t402\r\n'
198,3.1262537000000004,,,b'18.00\t401\r\n'
199,3.1418429000000003,,,b'18.00\t400\r\n'
200,3.1574748999999995,,,b'18.00\t399\r\n'
201,3.1731483000000003,,,b'18.00\t399\r\n'
202,3.18895,,,b'18.00\t399\r\n'
203,3.2042316,,,b'18.00\t399\r\n'
204,3.2196944,,,b'18.00\t398\r\n'
205,3.2351089999999996,,,b'18.00\t397\r\n'
206,3.2508003,,,b'18.00\t396\r\n'
207,3.2669099,,,b'18.00\t396\r\n'
208,3.2820734,,,b'18.00\t395\r\n'
209,3.2974905000000003,,,b'18.00\t394\r\n'
210,3.3132601,,,b'18.00\t394\r\n'
211,3.3289447,,,b'18.00\t393\r\n'
212,3.3442837,,,b'18.00\t393\r\n'
213,3.3601292000000003,,,b'18.00\t393\r\n'
214,3.3752401,,,b'18.00\t392\r\n'
215,3.3910096000000003,,,b'18.00\t392\r\n'
216,3.4056948,,,b'18.00\t391\r\n'
217,3.421596,,,b'18.00\t391\r\n'
218,3.4368071999999996,,,b'18.00\t390\r\n'
219,3.4521065,,,b'18.00\t390\r\n'
220,3.4678579000000003,,,b'18.00\t389\r\n'
221,3.4836197,,,b'19.00\t390\r\n'
222,3.4989692999999997,,,b'19.00\t389\r\n'
223,3.5143829999999996,,,b'19.00\t388\r\n'
224,3.5301761999999997,,,b'18.00\t388\r\n'
225,3.5455616,,,b'18.00\t387\r\n'
226,3.5620814000000003,,,b'18.00\t387\r\n'
227,3.5777051,,,b'18.00\t386\r\n'
228,3.5934606000000002,,,b'19.00\t386\r\n'
229,3.6086981,,,b'20.00\t385\r\n'
230,3.6246583,,,b'20.00\t385\r\n'
231,3.6402031,,,b'19.00\t384\r\n'
232,3.656334,,,b'18.00\t384\r\n'
233,3.6716235,,,b'18.00\t384\r\n'
234,3.6874497999999996,,,b'18.00\t384\r\n'
235,3.7029012999999997,,,b'19.00\t383\r\n'
236,3.7187149999999995,,,b'19.00\t383\r\n'
237,3.7342791999999996,,,b'20.00\t383\r\n'
238,3.7497822999999997,,,b'20.00\t382\r\n'
239,3.7658157,,,b'20.00\t382\r\n'
240,3.7820193,,,b'19.00\t382\r\n'
241,3.7980279,,,b'19.00\t381\r\n'
242,3.8127085000000003,,,b'19.00\t380\r\n'
243,3.8289472,,,b'20.00\t380\r\n'
244,3.8445612999999996,,,b'19.00\t380\r\n'
245,3.8599534999999996,,,b'19.00\t379\r\n'
246,3.8765099999999997,,,b'18.00\t379\r\n'
247,3.8927829999999997,,,b'18.00\t379\r\n'
248,3.908607,,,b'19.00\t379\r\n'
249,3.9241626,,,b'19.00\t378\r\n'
250,3.9398432999999997,,,b'19.00\t378\r\n'
251,3.9559492,,,b'18.00\t377\r\n'
252,3.9720595999999997,,,b'18.00\t377\r\n'
253,3.9873155000000002,,,b'18.00\t377\r\n'
254,4.0027114,,,b'18.00\t376\r\n'
255,4.0181758,,,b'19.00\t376\r\n'
256,4.0338289,,,b'20.00\t375\r\n'
257,4.049269,,,b'20.00\t375\r\n'
258,4.0645791,,,b'19.00\t375\r\n'
259,4.0804212,,,b'19.00\t374\r\n'
260,4.0960704,,,b'19.00\t374\r\n'
261,4.1114397,,,b'20.00\t373\r\n'
262,4.1268379,,,b'19.00\t373\r\n'
263,4.1424126,,,b'20.00\t372\r\n'
264,4.1576025,,,b'20.00\t372\r\n'
265,4.1731271,,,b'20.00\t372\r\n'
266,4.1886593,,,b'20.00\t371\r\n'
267,4.2040801,,,b'20.00\t371\r\n'
268,4.2195915,,,b'21.00\t370\r\n'
269,4.2351804,,,b'21.00\t370\r\n'
270,4.2514975999999995,,,b'21.00\t370\r\n'
271,4.2670606,,,b'20.00\t370\r\n'
272,4.2826033,,,b'19.00\t369\r\n'
273,4.2984642,,,b'19.00\t369\r\n'
274,4.3142835999999996,,,b'19.00\t368\r\n'
275,4.3292608999999995,,,b'20.00\t368\r\n'
276,4.3448003,,,b'20.00\t367\r\n'
277,4.3597778,,,b'21.00\t367\r\n'
278,4.3749499,,,b'21.00\t367\r\n'
279,4.3902312,,,b'21.00\t366\r\n'
280,4.4051503,,,b'21.00\t366\r\n'
281,4.4209258,,,b'21.00\t366\r\n'
282,4.436128,,,b'21.00\t365\r\n'
283,4.4518769,,,b'21.00\t364\r\n'
284,4.4676504,,,b'21.00\t364\r\n'
