,time,force_mV,displacement_mV,mV
122,1.9234040000000001,,,b'0.40\t403\r\n'
123,1.9399022000000001,,,b'0.40\t403\r\n'
124,1.9552573999999998,,,b'0.40\t403\r\n'
125,1.9716263,,,b'0.60\t403\r\n'
126,1.9880054999999999,,,b'0.80\t403\r\n'
127,2.003937,,,b'0.60\t403\r\n'
128,2.0193659,,,b'0.40\t404\r\n'
129,2.0346032,,,b'0.40\t403\r\n'
130,2.049862,,,b'0.40\t403\r\n'
131,2.0659381000000003,,,b'0.40\t403\r\n'
132,2.0820762000000004,,,b'0.40\t404\r\n'
133,2.0982750999999995,,,b'0.40\t403\r\n'
134,2.1143371,,,b'0.40\t403\r\n'
135,2.1298193000000003,,,b'0.40\t403\r\n'
136,2.1456783,,,b'0.20\t404\r\n'
137,2.1610424000000004,,,b'0.20\t403\r\n'
138,2.1762170999999997,,,b'0.20\t404\r\n'
139,2.1922037000000003,,,b'0.40\t403\r\n'
140,2.2077397999999997,,,b'0.40\t403\r\n'
141,2.2233763,,,b'0.40\t404\r\n'
142,2.2392956,,,b'0.40\t403\r\n'
143,2.2553339999999995,,,b'0.40\t403\r\n'
144,2.2708560999999996,,,b'0.40\t403\r\n'
145,2.2862953,,,b'0.20\t404\r\n'
146,2.3018181999999996,,,b'0.20\t403\r\n'
147,2.3179106999999997,,,b'0.20\t403\r\n'
148,2.3336797999999996,,,b'0.20\t403\r\n'
149,2.3490855999999996,,,b'0.00\t403\r\n'
150,2.3643582,,,b'0.20\t403\r\n'
151,2.3803368999999996,,,b'0.20\t404\r\n'
152,2.3958502,,,b'0.20\t403\r\n'
153,2.4118812,,,b'0.20\t403\r\n'
154,2.4270924999999997,,,b'0.40\t403\r\n'
155,2.4424916999999997,,,b'0.40\t403\r\n'
156,2.4577058999999997,,,b'0.40\t403\r\n'
157,2.4736662999999997,,,b'0.60\t403\r\n'
158,2.4892158999999996,,,b'0.60\t403\r\n'
159,2.5049187,,,b'0.60\t403\r\n'
160,2.5207137,,,b'0.40\t404\r\n'
161,2.5366495999999996,,,b'0.40\t403\r\n'
162,2.5520417999999996,,,b'0.40\t403\r\n'
163,2.5676509000000003,,,b'0.40\t403\r\n'
164,2.5836170000000003,,,b'0.20\t403\r\n'
165,2.5990586999999996,,,b'0.20\t403\r\n'
166,2.6146091,,,b'0.20\t403\r\n'
167,2.6306708,,,b'0.00\t403\r\n'
168,2.6457892000000003,,,b'0.00\t403\r\n'
169,2.6617217999999996,,,b'0.00\t403\r\n'
170,2.6780207999999996,,,b'0.20\t403\r\n'
171,2.6934620999999996,,,b'0.40\t403\r\n'
172,2.7088843000000002,,,b'0.60\t404\r\n'
173,2.7251683,,,b'0.60\t404\r\n'
174,2.7407258,,,b'0.60\t403\r\n'
175,2.7565926000000003,,,b'0.60\t403\r\n'
176,2.7726486999999995,,,b'0.60\t404\r\n'
177,2.7886040999999997,,,b'0.80\t403\r\n'
178,2.8041371999999996,,,b'0.80\t403\r\n'
179,2.8203522000000003,,,b'0.80\t403\r\n'
180,2.8362081999999997,,,b'0.60\t403\r\n'
181,2.8520009,,,b'0.60\t403\r\n'
182,2.8680497999999996,,,b'0.40\t403\r\n'
183,2.8832231999999998,,,b'0.40\t403\r\n'
184,2.8987042,,,b'0.40\t403\r\n'
185,2.9145822,,,b'0.40\t404\r\n'
186,2.9308946000000002,,,b'0.40\t403\r\n'
187,2.9468799,,,b'0.20\t403\r\n'
188,2.9623543999999997,,,b'0.40\t403\r\n'
189,2.9776572999999997,,,b'0.60\t403\r\n'
190,2.9935260999999995,,,b'0.60\t403\r\n'
191,3.0096432,,,b'0.40\t403\r\n'
192,3.0252549,,,b'0.40\t404\r\n'
193,3.0407573999999995,,,b'0.40\t403\r\n'
194,3.0569789,,,b'0.40\t403\r\n'
195,3.0729198999999996,,,b'0.40\t403\r\n'
196,3.0881996000000003,,,b'0.40\t403\r\n'
197,3.1039971,,,b'0.40\t404\r\n'
198,3.1191880999999997,,,b'0.20\t403\r\n'
199,3.1346508,,,b'0.00\t403\r\n'
200,3.1506663999999995,,,b'0.00\t403\r\n'
201,3.1659778999999997,,,b'0.00\t403\r\n'
202,3.1818752000000003,,,b'0.00\t403\r\n'
203,3.1971344999999998,,,b'0.00\t403\r\n'
204,3.2127739999999996,,,b'0.00\t403\r\n'
205,3.2288109,,,b'0.00\t404\r\n'
206,3.2451907999999996,,,b'0.00\t403\r\n'
207,3.2603732,,,b'0.00\t404\r\n'
208,3.2758994999999995,,,b'0.00\t403\r\n'
209,3.2913281999999997,,,b'0.00\t403\r\n'
210,3.3078298000000004,,,b'0.00\t404\r\n'
211,3.3230622,,,b'0.00\t403\r\n'
212,3.3385292,,,b'0.00\t403\r\n'
213,3.3541654000000003,,,b'0.00\t403\r\n'
214,3.369021,,,b'0.00\t403\r\n'
215,3.3850363999999997,,,b'0.00\t403\r\n'
216,3.4002324,,,b'0.00\t403\r\n'
217,3.4158549999999996,,,b'0.00\t404\r\n'
218,3.4316174999999998,,,b'0.00\t403\r\n'
219,3.4475548,,,b'0.00\t404\r\n'
220,3.4626396,,,b'0.20\t403\r\n'
221,3.4788615,,,b'0.40\t403\r\n'
222,3.4946425999999997,,,b'0.40\t403\r\n'
223,3.5092755999999996,,,b'0.40\t403\r\n'
224,3.5252375000000002,,,b'0.40\t403\r\n'
225,3.5407846000000003,,,b'0.40\t403\r\n'
226,3.5566237999999997,,,b'0.40\t403\r\n'
227,3.5730132,,,b'0.40\t403\r\n'
228,3.5893053999999998,,,b'0.40\t404\r\n'
229,3.6056969,,,b'0.40\t403\r\n'
230,3.6213954,,,b'0.20\t403\r\n'
231,3.6372098,,,b'0.00\t403\r\n'
232,3.6526628,,,b'0.00\t403\r\n'
233,3.6689055999999995,,,b'0.20\t403\r\n'
234,3.6845812000000002,,,b'0.20\t404\r\n'
235,3.6995693000000003,,,b'0.20\t404\r\n'
236,3.7149821999999997,,,b'0.20\t403\r\n'
237,3.7303103,,,b'0.20\t403\r\n'
238,3.7458764,,,b'0.40\t403\r\n'
239,3.7776411999999997,,,b'0.40\t403\r\n'
240,3.7927869999999997,,,b'0.40\t403\r\n'
241,3.8080496000000004,,,b'0.40\t403\r\n'
242,3.8238811999999998,,,b'0.40\t404\r\n'
243,3.8388967000000003,,,b'0.20\t404\r\n'
244,3.8548181999999995,,,b'0.20\t403\r\n'
245,3.8705337999999996,,,b'0.20\t403\r\n'
246,3.8867902,,,b'0.20\t403\r\n'
247,3.9019565,,,b'0.20\t403\r\n'
248,3.9174134,,,b'0.00\t403\r\n'
249,3.9329305000000003,,,b'0.00\t404\r\n'
250,3.948284,,,b'0.00\t404\r\n'
251,3.9634907000000004,,,b'0.00\t403\r\n'
252,3.9789890999999997,,,b'0.00\t403\r\n'
253,3.9944602,,,b'0.00\t403\r\n'
254,4.009798,,,b'0.00\t403\r\n'
255,4.0257458999999995,,,b'0.00\t404\r\n'
256,4.0413783,,,b'0.20\t403\r\n'
257,4.0572808,,,b'0.20\t403\r\n'
258,4.0727353,,,b'0.20\t403\r\n'
259,4.0886643,,,b'0.20\t403\r\n'
260,4.1036145,,,b'0.20\t403\r\n'
261,4.1193591,,,b'0.20\t403\r\n'
262,4.1348471,,,b'0.40\t403\r\n'
263,4.1502189,,,b'0.40\t403\r\n'
264,4.1653942,,,b'0.40\t403\r\n'
265,4.1813039,,,b'0.40\t403\r\n'
266,4.1975902,,,b'0.20\t404\r\n'
267,4.2126168999999996,,,b'0.20\t403\r\n'
268,4.2280328,,,b'0.20\t403\r\n'
269,4.2445427,,,b'0.40\t403\r\n'
270,4.2585626,,,b'0.60\t403\r\n'
271,4.2741017,,,b'0.60\t403\r\n'
272,4.2899617,,,b'0.40\t403\r\n'
273,4.3053618,,,b'0.60\t403\r\n'
274,4.321078,,,b'0.80\t403\r\n'
275,4.3368944,,,b'0.80\t404\r\n'
276,4.3526776,,,b'1.00\t403\r\n'
277,4.3686720999999995,,,b'1.00\t403\r\n'
278,4.3845092999999995,,,b'1.00\t403\r\n'
279,4.400578,,,b'1.00\t403\r\n'
280,4.415572,,,b'0.80\t403\r\n'
281,4.4312966,,,b'1.00\t403\r\n'
282,4.4474711,,,b'1.00\t403\r\n'
283,4.4778899,,,b'0.80\t403\r\n'
284,4.4938978,,,b'0.60\t403\r\n'
285,4.5083748,,,b'0.60\t403\r\n'
286,4.5245768,,,b'0.40\t403\r\n'
287,4.5406169,,,b'0.40\t403\r\n'
288,4.5570062,,,b'0.40\t403\r\n'
289,4.5730096,,,b'0.20\t403\r\n'
290,4.5889774,,,b'0.20\t403\r\n'
291,4.6046526,,,b'0.00\t403\r\n'
292,4.620038,,,b'0.00\t403\r\n'
293,4.6355018,,,b'0.00\t403\r\n'
294,4.6511458999999995,,,b'0.00\t403\r\n'
295,4.6671249,,,b'0.00\t403\r\n'
296,4.6825382,,,b'0.00\t403\r\n'
297,4.6985214,,,b'0.00\t404\r\n'
298,4.7137426,,,b'0.20\t403\r\n'
299,4.7297393,,,b'0.20\t403\r\n'
300,4.7456337,,,b'0.20\t403\r\n'
301,4.760754,,,b'0.40\t403\r\n'
302,4.7764212,,,b'0.40\t403\r\n'
303,4.7918141,,,b'0.40\t403\r\n'
304,4.8077198,,,b'0.40\t403\r\n'
305,4.8234053999999995,,,b'0.40\t403\r\n'
306,4.8390732,,,b'0.40\t403\r\n'
307,4.854213,,,b'0.40\t403\r\n'
308,4.8698087999999995,,,b'0.20\t403\r\n'
309,4.8855255,,,b'0.20\t403\r\n'
310,4.9005293,,,b'0.20\t403\r\n'
311,4.9162756,,,b'0.00\t403\r\n'
312,4.9326255,,,b'0.00\t403\r\n'
313,4.9490934,,,b'0.00\t403\r\n'
314,4.9655605,,,b'0.00\t403\r\n'
315,4.9815946,,,b'0.00\t403\r\n'
316,4.997597,,,b'0.20\t403\r\n'
317,5.0136413,,,b'0.20\t403\r\n'
318,5.0292824,,,b'0.20\t403\r\n'
319,5.0444609,,,b'0.20\t404\r\n'
320,5.0608653,,,b'0.40\t403\r\n'
321,5.0769267,,,b'0.40\t403\r\n'
322,5.0921047,,,b'0.40\t403\r\n'
323,5.1080795,,,b'0.40\t403\r\n'
324,5.1238781,,,b'0.40\t403\r\n'
325,5.1394808,,,b'0.40\t403\r\n'
326,5.1552563,,,b'0.20\t403\r\n'
327,5.1708814,,,b'0.20\t403\r\n'
328,5.1862346,,,b'0.20\t403\r\n'
329,5.2015845,,,b'0.20\t403\r\n'
330,5.2173165,,,b'0.00\t403\r\n'
331,5.2324206,,,b'0.20\t403\r\n'
332,5.2478150999999995,,,b'0.20\t403\r\n'
333,5.2630343,,,b'0.20\t403\r\n'
334,5.278879,,,b'0.20\t404\r\n'
335,5.2945853,,,b'0.20\t403\r\n'
336,5.3104996,,,b'0.20\t403\r\n'
337,5.3258459,,,b'0.20\t403\r\n'
338,5.3410683,,,b'0.20\t403\r\n'
339,5.3569102,,,b'0.20\t403\r\n'
340,5.3731906,,,b'0.40\t403\r\n'
341,5.3885404,,,b'0.20\t403\r\n'
342,5.4045797,,,b'0.20\t403\r\n'
343,5.4199722,,,b'0.20\t403\r\n'
344,5.4351852,,,b'0.20\t403\r\n'
345,5.4507133,,,b'0.20\t403\r\n'
346,5.4668089,,,b'0.20\t403\r\n'
347,5.4825286,,,b'0.20\t403\r\n'
348,5.4976705,,,b'0.20\t403\r\n'
349,5.5127444,,,b'0.20\t404\r\n'
350,5.5286328,,,b'0.00\t403\r\n'
351,5.5444238,,,b'0.00\t403\r\n'
352,5.5603454999999995,,,b'0.00\t403\r\n'
353,5.5758035,,,b'0.00\t403\r\n'
354,5.5922462,,,b'0.00\t403\r\n'
355,5.6083965,,,b'0.00\t403\r\n'
356,5.6241295,,,b'0.00\t403\r\n'
357,5.640008,,,b'0.00\t403\r\n'
358,5.655742,,,b'0.00\t403\r\n'
359,5.6707914,,,b'0.00\t403\r\n'
360,5.6864777,,,b'0.20\t403\r\n'
361,5.7013431,,,b'0.20\t403\r\n'
362,5.7166421,,,b'0.20\t403\r\n'
363,5.7317934,,,b'0.20\t403\r\n'
364,5.7478607,,,b'0.20\t403\r\n'
365,5.7641456,,,b'0.20\t404\r\n'
366,5.7800719,,,b'0.20\t403\r\n'
367,5.7955359,,,b'0.40\t403\r\n'
368,5.811792,,,b'0.40\t403\r\n'
369,5.8270486,,,b'0.60\t403\r\n'
370,5.8430817,,,b'0.40\t403\r\n'
371,5.8580217999999995,,,b'0.40\t403\r\n'
372,5.8734374,,,b'0.60\t403\r\n'
373,5.8888821,,,b'0.60\t403\r\n'
374,5.9046814,,,b'0.60\t403\r\n'
375,5.9199181,,,b'0.60\t403\r\n'
376,5.9355506,,,b'0.60\t404\r\n'
377,5.9512151,,,b'0.40\t403\r\n'
378,5.9674331,,,b'0.60\t404\r\n'
379,5.9837825,,,b'0.40\t403\r\n'
380,5.999257,,,b'0.60\t403\r\n'
381,6.0146277999999995,,,b'0.60\t403\r\n'
382,6.0297032,,,b'0.40\t403\r\n'
383,6.044925800000001,,,b'0.60\t403\r\n'
384,6.061077999999999,,,b'0.60\t403\r\n'
385,6.0771302,,,b'0.60\t403\r\n'
386,6.092965,,,b'0.60\t403\r\n'
387,6.1088762999999995,,,b'0.60\t403\r\n'
388,6.125442799999999,,,b'0.60\t403\r\n'
389,6.140268699999999,,,b'0.60\t403\r\n'
390,6.155990399999999,,,b'0.60\t403\r\n'
391,6.1719379000000005,,,b'0.80\t403\r\n'
392,6.1879821,,,b'1.00\t403\r\n'
393,6.2035907,,,b'1.00\t404\r\n'
394,6.2195711000000005,,,b'1.20\t403\r\n'
395,6.235482200000001,,,b'1.40\t403\r\n'
396,6.2515662999999995,,,b'1.60\t403\r\n'
397,6.2674771,,,b'1.80\t404\r\n'
398,6.282482900000001,,,b'1.80\t403\r\n'
399,6.298477599999999,,,b'2.00\t403\r\n'
400,6.314495099999999,,,b'2.30\t403\r\n'
401,6.330477899999999,,,b'2.60\t403\r\n'
402,6.346487600000001,,,b'2.90\t403\r\n'
403,6.3625661,,,b'3.20\t403\r\n'
404,6.3785742999999995,,,b'3.50\t403\r\n'
405,6.394533999999999,,,b'3.80\t403\r\n'
406,6.4105625,,,b'4.40\t403\r\n'
407,6.426527599999999,,,b'4.70\t403\r\n'
408,6.441530599999999,,,b'5.30\t403\r\n'
409,6.4575626999999995,,,b'5.90\t404\r\n'
410,6.473503,,,b'5.90\t403\r\n'
411,6.4894571,,,b'6.20\t404\r\n'
412,6.504467900000001,,,b'6.50\t403\r\n'
413,6.520455899999999,,,b'6.80\t403\r\n'
414,6.536504099999999,,,b'7.10\t403\r\n'
415,6.5514836,,,b'7.10\t403\r\n'
416,6.567571399999999,,,b'7.10\t403\r\n'
417,6.5826562,,,b'7.40\t403\r\n'
418,6.5976784,,,b'7.40\t403\r\n'
419,6.612538999999999,,,b'7.40\t403\r\n'
420,6.628100300000001,,,b'7.90\t403\r\n'
421,6.6434495,,,b'8.10\t403\r\n'
422,6.6595146000000005,,,b'8.30\t403\r\n'
423,6.675504599999999,,,b'8.50\t403\r\n'
424,6.6914519,,,b'8.70\t403\r\n'
425,6.7075135,,,b'9.20\t403\r\n'
426,6.7235418000000005,,,b'9.40\t403\r\n'
427,6.7395465,,,b'9.60\t404\r\n'
428,6.755572,,,b'9.80\t403\r\n'
429,6.7715316,,,b'10.00\t403\r\n'
430,6.7875568,,,b'10.00\t403\r\n'
431,6.803467799999999,,,b'10.00\t403\r\n'
432,6.8195472,,,b'10.00\t404\r\n'
433,6.835489099999999,,,b'10.00\t403\r\n'
434,6.851494099999999,,,b'10.30\t404\r\n'
435,6.866691800000001,,,b'10.60\t404\r\n'
436,6.882643000000001,,,b'10.90\t403\r\n'
437,6.8986914,,,b'11.20\t403\r\n'
438,6.9147606999999995,,,b'11.50\t404\r\n'
439,6.930421999999999,,,b'11.80\t403\r\n'
440,6.945934199999999,,,b'12.10\t403\r\n'
441,6.962262399999999,,,b'12.40\t403\r\n'
442,6.977601900000001,,,b'12.70\t404\r\n'
443,6.992973500000001,,,b'13.30\t403\r\n'
444,7.009084199999999,,,b'13.30\t403\r\n'
445,7.0243049,,,b'13.60\t403\r\n'
446,7.0400775,,,b'13.90\t403\r\n'
447,7.0558021,,,b'14.20\t403\r\n'
448,7.071634499999999,,,b'14.50\t403\r\n'
449,7.0871372,,,b'14.80\t404\r\n'
450,7.1033803,,,b'15.10\t403\r\n'
451,7.1191991,,,b'15.40\t403\r\n'
452,7.134138299999999,,,b'15.70\t403\r\n'
453,7.150419500000001,,,b'15.70\t403\r\n'
454,7.165909,,,b'16.20\t403\r\n'
455,7.1811766,,,b'16.20\t403\r\n'
456,7.1976737,,,b'16.40\t403\r\n'
457,7.213762999999999,,,b'16.60\t403\r\n'
458,7.2291473,,,b'16.80\t404\r\n'
459,7.245169699999999,,,b'17.00\t403\r\n'
460,7.26048,,,b'17.20\t403\r\n'
461,7.2756569,,,b'17.70\t403\r\n'
462,7.291656799999999,,,b'17.90\t403\r\n'
463,7.3068778,,,b'18.10\t404\r\n'
464,7.3220198000000005,,,b'18.10\t403\r\n'
465,7.3380134,,,b'18.30\t403\r\n'
466,7.3543922,,,b'18.30\t403\r\n'
467,7.3702257,,,b'18.60\t403\r\n'
468,7.3861731,,,b'18.60\t403\r\n'
469,7.401381399999999,,,b'18.90\t403\r\n'
470,7.417488400000001,,,b'19.20\t403\r\n'
471,7.4330848000000005,,,b'18.90\t403\r\n'
472,7.4495125,,,b'18.90\t403\r\n'
473,7.465622000000001,,,b'18.90\t403\r\n'
474,7.481266300000001,,,b'18.90\t402\r\n'
475,7.497831199999999,,,b'18.70\t402\r\n'
476,7.5135152,,,b'18.70\t401\r\n'
477,7.5289831000000005,,,b'18.40\t401\r\n'
478,7.544441399999999,,,b'18.40\t400\r\n'
479,7.5599032,,,b'18.10\t400\r\n'
